Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)	Absolute acceleration (m/s^2)
3.44969775	-1.548829193	2.976260834	10.54302567	11.06401331
3.45968875	-1.460662537	2.966680756	10.30891251	10.82628315
3.46967875	-1.373394012	2.95560379	9.987381134	10.50569307
3.47966975	-1.435963898	2.960393829	9.638456726	10.18458502
3.48966075	-1.654808807	3.051105194	9.203311615	9.836085592
3.49965175	-1.80075531	3.10424469	8.690328369	9.402173256
3.50964275	-1.80898819	3.043171692	8.262967072	8.989435858
3.51963375	-1.7305513	2.946772156	8.074508972	8.767894222
3.52962475	-1.520388336	2.891087952	8.32164505	8.939784482
3.53961475	-1.215472412	2.960992584	8.982221375	9.535468058
3.54960575	-0.851429443	2.980601807	9.862840118	10.33849769
3.55959675	-0.508642273	2.909799042	10.67579956	11.07692844
3.56958775	-0.223335571	2.792892151	11.33323242	11.67442857
3.57957875	-0.051043854	2.668201447	11.74577454	12.04512864
3.58956975	-0.057031403	2.53437973	11.80669785	12.07577936
3.59956075	-0.222587128	2.391127625	11.51375702	11.76153209
3.60955175	-0.406404877	2.219883728	10.89180038	11.12314543
3.61954175	-0.640368347	2.155517578	10.21894958	10.46342479
3.6295325	-0.835712128	2.15761322	9.672585754	9.94548263
3.6395235	-0.932860107	2.20326828	9.293573914	9.596621029
3.6495145	-0.953816528	2.256856842	9.081165619	9.405888463
3.6595055	-0.860261078	2.338437195	8.96515686	9.304965081
3.6694965	-0.694256287	2.374512177	8.933273163	9.269502105
3.6794875	-0.514330444	2.413281555	8.849447479	9.187011721
3.6894775	-0.351768494	2.497705994	8.787476349	9.142320104
3.6994685	-0.177381134	2.603835297	8.734935608	9.116497266
3.7094595	0.006735992	2.713257751	8.638985138	9.055047057
3.7194505	0.130079498	2.82687149	8.525521088	8.982907821
3.7294415	0.173339539	2.884351959	8.344397736	8.830543946
3.7394325	0.129331055	2.903362427	8.211025085	8.710176396
3.7494235	0.033081207	2.904260559	8.16252594	8.663870583
3.7594135	-0.033081207	2.872376862	8.214617615	8.702389658
3.7694045	-0.130528564	2.828368378	8.391100616	8.85591751
